Date,AAPL,GOOG,MSFT
2015-08-07,26.02384567,31.65127373,40.60221863
2015-08-10,26.97000504,31.57305527,41.11474228
2015-08-11,25.56653023,32.92071152,40.31555557
2015-08-12,25.96076393,32.85993195,40.60221863
2015-08-13,25.94048691,32.70499039,40.59352875
2015-08-14,26.12296486,32.73836899,40.82807159
2015-08-17,26.3932972,32.92519379,41.10604477
2015-08-18,26.24461555,32.68904495,41.33339691
2015-08-19,25.90895653,32.92669296,40.75629044
2015-08-20,25.37730217,32.22570801,39.92557907
2015-08-21,23.82514763,30.51435852,37.66088486
2015-08-24,23.23042107,29.37495422,36.44543839
2015-08-25,23.3700943,28.998806,35.3874054
2015-08-26,24.71048355,31.31847,37.34608078
2015-08-27,25.43813133,31.76635933,38.38663483
2015-08-28,25.52148056,31.40615463,38.4128685
2015-08-31,25.40207863,30.80182648,38.05435181
2015-09-01,24.26669121,29.78248787,36.56786346
2015-09-02,25.30746269,30.60702515,37.9144516
2015-09-03,24.86367607,30.20397377,38.03688049
2015-09-04,24.61586952,29.92746735,37.25864029
2015-09-08,25.30070496,30.62296677,38.37788391
2015-09-09,24.81411362,30.52631569,37.66088486
2015-09-10,25.35927963,30.95627022,37.85325241
2015-09-11,25.72872353,31.17647934,38.01938629
2015-09-14,25.97653008,31.05043411,37.63464355
2015-09-15,26.19505119,31.64330292,38.45658875
2015-09-16,26.22433662,31.68515396,38.73639679
2015-09-17,25.66340256,32.02991104,38.69268799
2015-09-18,25.55752563,31.34985542,38.01938629
2015-09-21,25.9540062,31.6582489,38.57024384
2015-09-22,25.54626274,31.02303314,38.38663483
2015-09-23,25.75351334,31.00658989,38.3604126
2015-09-24,25.90670395,31.1779747,38.39537811
2015-09-25,25.84136391,30.48894882,38.42162323
2015-09-28,25.32998848,29.63800621,37.85325241
2015-09-29,24.56855774,29.64199448,37.98439789
2015-09-30,24.84790802,30.3120842,38.70141602
2015-10-01,24.68570709,30.4550705,39.00746536
2015-10-02,24.86592865,31.23327637,39.84690857
2015-10-05,24.9560318,31.95867157,40.77378464
2015-10-06,25.07542801,32.15645981,40.87870407
2015-10-07,24.9560318,32.00300598,40.92242813
2015-10-08,24.66767693,31.84358215,41.49080276
2015-10-09,25.25790215,32.06528854,41.19349289
2015-10-12,25.14076424,32.21773529,41.09731674
2015-10-13,25.18355942,32.4982338,41.00112915
2015-10-14,24.82763481,32.44143295,40.81750488
2015-10-15,25.19933319,32.96854019,41.1060524
2015-10-16,25.01460838,32.99145508,41.54325867
2015-10-19,25.17004967,33.1857605,41.63943481
2015-10-20,25.62960815,32.39759445,41.77059937
2015-10-21,25.62735558,32.0154686,41.27219009
2015-10-22,26.0193367,32.4728241,41.99795151
2015-10-23,26.82582474,34.97433472,46.23009872
2015-10-26,25.96977615,35.51140594,47.43678284
2015-10-27,25.80532265,35.29766846,46.94710541
2015-10-28,26.86862564,35.51987076,47.20069504
2015-10-29,27.15246964,35.71766663,46.65856934
2015-10-30,26.92043877,35.4132576,46.02898788
2015-11-02,27.2989006,35.92641449,46.55364227
2015-11-03,27.61203003,35.97872543,47.34934998
2015-11-04,27.48362732,36.27516174,47.5679512
2015-11-05,27.35693169,36.43159866,47.550457
2015-11-06,27.38860512,36.55664444,48.02265167
2015-11-09,27.27775192,36.11473083,47.35809326
2015-11-10,26.41803741,36.28562164,46.78973389
2015-11-11,26.26871681,36.63835526,46.91214371
2015-11-12,26.18048477,36.43060303,46.62358475
2015-11-13,25.41579247,35.72164536,46.20387268
2015-11-16,25.83207703,36.3175087,47.01706314
2015-11-17,25.72121811,36.13515854,46.62973404
2015-11-18,26.53568649,36.86753464,47.40441132
2015-11-19,26.87277412,36.78831482,47.48364258
2015-11-20,26.9904232,37.69456482,47.70370865
2015-11-23,26.63975143,37.6636734,47.70370865
2015-11-24,26.89540482,37.28004837,47.75652313
2015-11-25,26.70309258,37.27357101,47.26354218
2015-11-27,26.65332603,37.37869644,47.47482681
2015-11-30,26.76418114,36.9970665,47.84454727
2015-12-01,26.54699326,38.21469116,48.61042404
2015-12-02,26.3071785,37.98252487,48.60162354
2015-12-03,26.06284332,37.49228668,47.71251297
2015-12-04,26.92934036,38.20323181,49.21783447
